run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam1.0,15,3,1.0,19,model.output_blocks.4,54,146,0.27,3.91720466,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,20,model.output_blocks.5,54,146,0.27,4.01381482,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,21,model.output_blocks.6,54,146,0.27,3.83799356,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,22,model.output_blocks.7,54,146,0.27,4.07828636,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,23,model.output_blocks.8,54,146,0.27,3.86771455,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,24,model.output_blocks.9,54,146,0.27,4.13823545,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,0,model.input_blocks.0,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,1,model.input_blocks.1,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,2,model.input_blocks.10,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,3,model.input_blocks.11,54,146,0.27,7.62844624,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,4,model.input_blocks.2,54,146,0.27,7.7757352,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,5,model.input_blocks.3,54,146,0.27,7.74726084,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,6,model.input_blocks.4,54,146,0.27,7.70799597,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,7,model.input_blocks.5,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,8,model.input_blocks.6,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,9,model.input_blocks.7,54,146,0.27,7.69401862,4;2;4;4;4;4;4;4;3;4;2;3
