,t_99,t_98,t_97,t_96,t_95,t_94,t_93,t_92,t_91,t_90,t_89,t_88,t_87,t_86,t_85,t_84,t_83,t_82,t_81,t_80,t_79,t_78,t_77,t_76,t_75,t_74,t_73,t_72,t_71,t_70,t_69,t_68,t_67,t_66,t_65,t_64,t_63,t_62,t_61,t_60,t_59,t_58,t_57,t_56,t_55,t_54,t_53,t_52,t_51,t_50,t_49,t_48,t_47,t_46,t_45,t_44,t_43,t_42,t_41,t_40,t_39,t_38,t_37,t_36,t_35,t_34,t_33,t_32,t_31,t_30,t_29,t_28,t_27,t_26,t_25,t_24,t_23,t_22,t_21,t_20,t_19,t_18,t_17,t_16,t_15,t_14,t_13,t_12,t_11,t_10,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t_0
t_25,1.378125,1.3775390625,1.3775390625,1.3736328125,1.3712890625,1.3685546875,1.3671875,1.3654296875,1.3626953125,1.3607421875,1.3587890625,1.3576171875,1.356640625,1.3556640625,1.3537109375,1.3525390625,1.3517578125,1.3513671875,1.3501953125,1.349609375,1.3474609375,1.34609375,1.3427734375,1.339453125,1.33671875,1.3322265625,1.3279296875,1.3232421875,1.31796875,1.3111328125,1.3048828125,1.297265625,1.2904296875,1.2828125,1.2765625,1.26796875,1.260546875,1.2513671875,1.241015625,1.2310546875,1.220703125,1.2099609375,1.197265625,1.18515625,1.171484375,1.1576171875,1.14296875,1.1287109375,1.1119140625,1.09453125,1.0787109375,1.0619140625,1.0423828125,1.0224609375,1.0029296875,0.9818359375,0.9603515625,0.9380859375,0.916015625,0.8931640625,0.8677734375,0.8390625,0.8119140625,0.78359375,0.7521484375,0.7201171875,0.68388671875,0.6455078125,0.60400390625,0.5580078125,0.5052734375,0.4388671875,0.36376953125,0.2615234375,0.0,0.256787109375,0.351708984375,0.41591796875,0.4673828125,0.50986328125,0.54384765625,0.57451171875,0.60205078125,0.62802734375,0.6498046875,0.669921875,0.68779296875,0.70458984375,0.721484375,0.736328125,0.7509765625,0.7642578125,0.7763671875,0.788671875,0.8001953125,0.81171875,0.8240234375,0.8373046875,0.8525390625,0.8732421875
t_24,1.3794921875,1.37890625,1.3787109375,1.3751953125,1.3724609375,1.369921875,1.36875,1.3666015625,1.3640625,1.3623046875,1.360546875,1.359375,1.3580078125,1.3572265625,1.35546875,1.3541015625,1.3537109375,1.353515625,1.35234375,1.3515625,1.34921875,1.348046875,1.3451171875,1.3419921875,1.338671875,1.3345703125,1.330078125,1.3251953125,1.3203125,1.3138671875,1.307421875,1.3001953125,1.2931640625,1.286328125,1.280078125,1.2712890625,1.264453125,1.255078125,1.245703125,1.235546875,1.2251953125,1.214453125,1.201953125,1.190234375,1.1767578125,1.16328125,1.1490234375,1.13515625,1.11875,1.1013671875,1.0859375,1.069921875,1.051171875,1.031640625,1.0123046875,0.9921875,0.971484375,0.949609375,0.927734375,0.9060546875,0.8826171875,0.85546875,0.829296875,0.80263671875,0.77373046875,0.74423828125,0.710546875,0.67529296875,0.63740234375,0.5955078125,0.55009765625,0.49287109375,0.43154296875,0.3564453125,0.256787109375,0.0,0.25166015625,0.343115234375,0.4083984375,0.459765625,0.4998046875,0.53447265625,0.566015625,0.5947265625,0.6189453125,0.640625,0.6603515625,0.67861328125,0.6970703125,0.7130859375,0.7287109375,0.74306640625,0.7556640625,0.76865234375,0.7810546875,0.79345703125,0.80615234375,0.8205078125,0.836328125,0.858203125
t_23,1.380859375,1.3802734375,1.380078125,1.376171875,1.373828125,1.37109375,1.3703125,1.3681640625,1.365625,1.3634765625,1.3619140625,1.3607421875,1.3591796875,1.3587890625,1.356640625,1.3552734375,1.3548828125,1.3544921875,1.3533203125,1.352734375,1.3505859375,1.3494140625,1.3462890625,1.3431640625,1.3404296875,1.3359375,1.3314453125,1.3267578125,1.322265625,1.3162109375,1.3095703125,1.30234375,1.2958984375,1.2884765625,1.282421875,1.2740234375,1.267578125,1.258203125,1.2486328125,1.2388671875,1.2287109375,1.2181640625,1.2060546875,1.194140625,1.18125,1.1677734375,1.1541015625,1.140234375,1.1236328125,1.1072265625,1.092578125,1.0765625,1.0580078125,1.03984375,1.020703125,1.0013671875,0.9818359375,0.9609375,0.93984375,0.919140625,0.8970703125,0.87109375,0.846484375,0.8208984375,0.79365234375,0.765625,0.733984375,0.7013671875,0.66630859375,0.628125,0.5875,0.53720703125,0.4857421875,0.42412109375,0.351708984375,0.25166015625,0.0,0.247021484375,0.337353515625,0.402783203125,0.45224609375,0.4927734375,0.52890625,0.56015625,0.5873046875,0.6109375,0.63251953125,0.6521484375,0.67197265625,0.68955078125,0.706640625,0.72158203125,0.73515625,0.74892578125,0.7623046875,0.7755859375,0.78916015625,0.8041015625,0.820703125,0.8435546875
t_22,1.38203125,1.3818359375,1.381640625,1.377734375,1.3751953125,1.37265625,1.3716796875,1.3697265625,1.3669921875,1.365234375,1.3634765625,1.362109375,1.3611328125,1.3603515625,1.3583984375,1.3576171875,1.3568359375,1.356640625,1.355078125,1.354296875,1.3521484375,1.3509765625,1.348046875,1.3453125,1.3423828125,1.3380859375,1.333984375,1.32890625,1.3244140625,1.3181640625,1.3119140625,1.3048828125,1.2984375,1.2916015625,1.2853515625,1.2771484375,1.2701171875,1.2611328125,1.2521484375,1.2423828125,1.232421875,1.2220703125,1.2099609375,1.1990234375,1.1859375,1.17265625,1.158984375,1.1451171875,1.12890625,1.112890625,1.098046875,1.0830078125,1.0650390625,1.047265625,1.02890625,1.009765625,0.990625,0.970703125,0.9505859375,0.93046875,0.9095703125,0.884765625,0.8607421875,0.836328125,0.810546875,0.78369140625,0.75390625,0.7232421875,0.690234375,0.65546875,0.618359375,0.57265625,0.52744140625,0.47412109375,0.41591796875,0.343115234375,0.247021484375,0.0,0.241064453125,0.331787109375,0.394091796875,0.44423828125,0.48603515625,0.52177734375,0.55234375,0.57841796875,0.60234375,0.6236328125,0.645703125,0.6642578125,0.68193359375,0.6982421875,0.71279296875,0.72724609375,0.74150390625,0.75546875,0.76962890625,0.7853515625,0.8029296875,0.8271484375
t_21,1.383203125,1.3826171875,1.382421875,1.37890625,1.376171875,1.3736328125,1.37265625,1.3708984375,1.3681640625,1.3662109375,1.364453125,1.3634765625,1.3623046875,1.36171875,1.359765625,1.3583984375,1.3580078125,1.3580078125,1.3564453125,1.3560546875,1.3537109375,1.3525390625,1.35,1.3470703125,1.3443359375,1.33984375,1.335546875,1.330859375,1.3263671875,1.3201171875,1.3140625,1.3072265625,1.30078125,1.2939453125,1.2880859375,1.2798828125,1.273046875,1.2642578125,1.2548828125,1.245703125,1.2359375,1.2259765625,1.2140625,1.202734375,1.1900390625,1.176953125,1.1634765625,1.1498046875,1.1341796875,1.118359375,1.1044921875,1.0896484375,1.071875,1.054296875,1.03671875,1.01796875,0.999609375,0.98046875,0.9603515625,0.9412109375,0.9205078125,0.8962890625,0.873046875,0.8501953125,0.825390625,0.8,0.772265625,0.743359375,0.71201171875,0.6794921875,0.6453125,0.60341796875,0.56318359375,0.5166015625,0.4673828125,0.4083984375,0.337353515625,0.241064453125,0.0,0.238134765625,0.32568359375,0.38857421875,0.43876953125,0.48056640625,0.514453125,0.54423828125,0.57080078125,0.59443359375,0.61767578125,0.6376953125,0.6568359375,0.674609375,0.68984375,0.70537109375,0.7203125,0.7353515625,0.75029296875,0.76669921875,0.7853515625,0.8109375
t_20,1.3845703125,1.3841796875,1.3837890625,1.380078125,1.3775390625,1.3751953125,1.373828125,1.3720703125,1.36953125,1.3677734375,1.366015625,1.36484375,1.3638671875,1.36328125,1.3609375,1.3599609375,1.359375,1.358984375,1.3578125,1.357421875,1.35546875,1.35390625,1.3513671875,1.3486328125,1.345703125,1.3416015625,1.337109375,1.332421875,1.328125,1.322265625,1.316015625,1.3091796875,1.302734375,1.2962890625,1.2900390625,1.282421875,1.2755859375,1.266796875,1.2580078125,1.2484375,1.2388671875,1.2291015625,1.2173828125,1.20625,1.19375,1.18046875,1.1673828125,1.15390625,1.13828125,1.1228515625,1.108984375,1.0951171875,1.0775390625,1.0607421875,1.04296875,1.0248046875,1.0068359375,0.98828125,0.969140625,0.950390625,0.930859375,0.907421875,0.88515625,0.8630859375,0.839453125,0.8150390625,0.788671875,0.76123046875,0.73193359375,0.70166015625,0.6697265625,0.6318359375,0.59521484375,0.55341796875,0.50986328125,0.459765625,0.402783203125,0.331787109375,0.238134765625,0.0,0.233447265625,0.321826171875,0.385009765625,0.4341796875,0.473828125,0.50751953125,0.53701171875,0.563671875,0.58984375,0.61142578125,0.632421875,0.65126953125,0.66796875,0.684375,0.70029296875,0.71611328125,0.73203125,0.74921875,0.76865234375,0.7958984375
t_19,1.3853515625,1.3849609375,1.384765625,1.3810546875,1.37890625,1.376171875,1.375,1.3728515625,1.3701171875,1.3685546875,1.3671875,1.3662109375,1.36484375,1.3640625,1.3619140625,1.3609375,1.3603515625,1.36015625,1.3587890625,1.3583984375,1.356640625,1.35546875,1.3529296875,1.3501953125,1.347265625,1.3431640625,1.338671875,1.333984375,1.3296875,1.32421875,1.31796875,1.3115234375,1.3052734375,1.2984375,1.2923828125,1.2845703125,1.277734375,1.269140625,1.260546875,1.2509765625,1.2416015625,1.2314453125,1.2203125,1.2095703125,1.1970703125,1.183984375,1.1705078125,1.1578125,1.1423828125,1.1271484375,1.1134765625,1.0998046875,1.0830078125,1.0662109375,1.04921875,1.0314453125,1.0134765625,0.9951171875,0.976171875,0.9583984375,0.9392578125,0.916796875,0.8953125,0.8736328125,0.85078125,0.8279296875,0.8025390625,0.77666015625,0.7482421875,0.71953125,0.6896484375,0.6544921875,0.6205078125,0.5822265625,0.54384765625,0.4998046875,0.45224609375,0.394091796875,0.32568359375,0.233447265625,0.0,0.229736328125,0.3169921875,0.378466796875,0.4265625,0.466015625,0.5001953125,0.5296875,0.558203125,0.58212890625,0.60478515625,0.625390625,0.6431640625,0.6611328125,0.678125,0.69521484375,0.7119140625,0.73017578125,0.75087890625,0.7794921875
t_18,1.3861328125,1.3861328125,1.385546875,1.38203125,1.3798828125,1.3771484375,1.3759765625,1.3740234375,1.371484375,1.36953125,1.3677734375,1.366796875,1.3658203125,1.3650390625,1.3630859375,1.3619140625,1.361328125,1.3611328125,1.3599609375,1.359765625,1.3578125,1.356640625,1.3541015625,1.351171875,1.3486328125,1.34453125,1.3400390625,1.3357421875,1.3314453125,1.32578125,1.31953125,1.312890625,1.306640625,1.2998046875,1.2939453125,1.2861328125,1.279296875,1.271484375,1.2625,1.2533203125,1.2439453125,1.234375,1.2232421875,1.2125,1.2001953125,1.1875,1.1740234375,1.161328125,1.1466796875,1.13125,1.1181640625,1.1046875,1.087890625,1.0720703125,1.0552734375,1.0384765625,1.020703125,1.002734375,0.9845703125,0.966796875,0.9484375,0.9267578125,0.905859375,0.8849609375,0.86328125,0.8408203125,0.81640625,0.791796875,0.76474609375,0.73779296875,0.7095703125,0.6759765625,0.64453125,0.6095703125,0.57451171875,0.53447265625,0.4927734375,0.44423828125,0.38857421875,0.321826171875,0.229736328125,0.0,0.226611328125,0.311279296875,0.3716796875,0.4185546875,0.45849609375,0.49248046875,0.523828125,0.55029296875,0.5748046875,0.5974609375,0.6166015625,0.636328125,0.65439453125,0.6724609375,0.6908203125,0.71005859375,0.7318359375,0.76220703125
t_17,1.387109375,1.387109375,1.38671875,1.383203125,1.3806640625,1.378125,1.37734375,1.375,1.3724609375,1.3708984375,1.369140625,1.36796875,1.3671875,1.366015625,1.3640625,1.36328125,1.3625,1.3625,1.3611328125,1.3607421875,1.358984375,1.3580078125,1.3552734375,1.3525390625,1.3498046875,1.345703125,1.34140625,1.3369140625,1.3326171875,1.32734375,1.32109375,1.3142578125,1.30859375,1.301171875,1.2955078125,1.287890625,1.28125,1.273046875,1.2640625,1.2552734375,1.2462890625,1.2365234375,1.2263671875,1.2154296875,1.203515625,1.1908203125,1.178125,1.1654296875,1.15078125,1.135546875,1.1228515625,1.109765625,1.0935546875,1.0779296875,1.06171875,1.04453125,1.0279296875,1.010546875,0.99296875,0.9755859375,0.9576171875,0.93671875,0.91640625,0.89609375,0.8751953125,0.8541015625,0.8302734375,0.80673828125,0.78115234375,0.755078125,0.7287109375,0.696875,0.6673828125,0.634765625,0.60205078125,0.566015625,0.52890625,0.48603515625,0.43876953125,0.385009765625,0.3169921875,0.226611328125,0.0,0.22109375,0.30458984375,0.363037109375,0.41123046875,0.45048828125,0.48642578125,0.516015625,0.54326171875,0.56787109375,0.58896484375,0.6103515625,0.6296875,0.64892578125,0.66806640625,0.68857421875,0.71181640625,0.74384765625
t_16,1.387890625,1.387890625,1.3873046875,1.38359375,1.3814453125,1.3787109375,1.3775390625,1.376171875,1.3734375,1.371875,1.3703125,1.369140625,1.3681640625,1.3673828125,1.3654296875,1.3642578125,1.3634765625,1.36328125,1.3625,1.3619140625,1.359765625,1.358984375,1.35625,1.3537109375,1.351171875,1.3470703125,1.3427734375,1.33828125,1.3341796875,1.32890625,1.322265625,1.3158203125,1.3095703125,1.302734375,1.2970703125,1.2896484375,1.2830078125,1.2751953125,1.26640625,1.2576171875,1.248828125,1.2392578125,1.22890625,1.21875,1.20703125,1.19453125,1.18203125,1.16953125,1.155078125,1.13984375,1.1275390625,1.1146484375,1.098828125,1.0837890625,1.0677734375,1.0509765625,1.0345703125,1.017578125,1.0009765625,0.983984375,0.96640625,0.9466796875,0.9265625,0.907421875,0.8873046875,0.8666015625,0.84375,0.8208984375,0.7962890625,0.77158203125,0.74677734375,0.71650390625,0.68876953125,0.65830078125,0.62802734375,0.5947265625,0.56015625,0.52177734375,0.48056640625,0.4341796875,0.378466796875,0.311279296875,0.22109375,0.0,0.21787109375,0.299169921875,0.3587890625,0.40546875,0.44697265625,0.48037109375,0.51103515625,0.537890625,0.56083984375,0.5841796875,0.60498046875,0.62568359375,0.64619140625,0.66748046875,0.6916015625,0.725390625
