model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,is_quantized,seq_len
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[0].out_layers.conv,conv2d,"(672, 672, 3, 3)",16257024,688128,16945152,6048,672,6048,4064256,False,1
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[0].skip_connection,conv2d,"(672, 1568, 1, 1)",4214784,1605632,5820416,1568,672,1568,1053696,False,1
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[1].qkv,conv1d,"(2016, 672, 1)",5419008,688128,6107136,672,2016,2016,1354752,False,1
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[1].proj_out,conv1d,"(672, 672, 1)",1806336,688128,2494464,672,672,672,451584,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[0].in_layers.conv,conv2d,"(672, 1344, 3, 3)",32514048,1376256,33890304,12096,672,12096,8128512,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[0].emb_layers.linear,linear,"(672, 896)",2408448,3584,2412032,896,672,896,602112,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[0].out_layers.conv,conv2d,"(672, 672, 3, 3)",16257024,688128,16945152,6048,672,6048,4064256,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[0].skip_connection,conv2d,"(672, 1344, 1, 1)",3612672,1376256,4988928,1344,672,1344,903168,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[1].qkv,conv1d,"(2016, 672, 1)",5419008,688128,6107136,672,2016,2016,1354752,False,1
ldm_ffhq256,17,decoder_layer_4,decoder_layer_4[1].proj_out,conv1d,"(672, 672, 1)",1806336,688128,2494464,672,672,672,451584,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[0].in_layers.conv,conv2d,"(672, 1120, 3, 3)",27095040,1146880,28241920,10080,672,10080,6773760,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[0].emb_layers.linear,linear,"(672, 896)",2408448,3584,2412032,896,672,896,602112,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[0].out_layers.conv,conv2d,"(672, 672, 3, 3)",16257024,688128,16945152,6048,672,6048,4064256,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[0].skip_connection,conv2d,"(672, 1120, 1, 1)",3010560,1146880,4157440,1120,672,1120,752640,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[1].qkv,conv1d,"(2016, 672, 1)",5419008,688128,6107136,672,2016,2016,1354752,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[1].proj_out,conv1d,"(672, 672, 1)",1806336,688128,2494464,672,672,672,451584,False,1
ldm_ffhq256,18,decoder_layer_5,decoder_layer_5[2].upsample,conv2d,"(672, 672, 3, 3)",16257024,2752512,19009536,6048,672,6048,4064256,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[0].in_layers.conv,conv2d,"(448, 1120, 3, 3)",18063360,4587520,22650880,10080,448,10080,4515840,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[0].emb_layers.linear,linear,"(448, 896)",1605632,3584,1609216,896,448,896,401408,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[0].out_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[0].skip_connection,conv2d,"(448, 1120, 1, 1)",2007040,4587520,6594560,1120,448,1120,501760,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[1].qkv,conv1d,"(1344, 448, 1)",2408448,1835008,4243456,448,1344,1344,602112,False,1
ldm_ffhq256,19,decoder_layer_6,decoder_layer_6[1].proj_out,conv1d,"(448, 448, 1)",802816,1835008,2637824,448,448,448,200704,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[0].in_layers.conv,conv2d,"(448, 896, 3, 3)",14450688,3670016,18120704,8064,448,8064,3612672,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[0].emb_layers.linear,linear,"(448, 896)",1605632,3584,1609216,896,448,896,401408,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[0].out_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[0].skip_connection,conv2d,"(448, 896, 1, 1)",1605632,3670016,5275648,896,448,896,401408,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[1].qkv,conv1d,"(1344, 448, 1)",2408448,1835008,4243456,448,1344,1344,602112,False,1
ldm_ffhq256,20,decoder_layer_7,decoder_layer_7[1].proj_out,conv1d,"(448, 448, 1)",802816,1835008,2637824,448,448,448,200704,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[0].in_layers.conv,conv2d,"(448, 672, 3, 3)",10838016,2752512,13590528,6048,448,6048,2709504,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[0].emb_layers.linear,linear,"(448, 896)",1605632,3584,1609216,896,448,896,401408,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[0].out_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[0].skip_connection,conv2d,"(448, 672, 1, 1)",1204224,2752512,3956736,672,448,672,301056,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[1].qkv,conv1d,"(1344, 448, 1)",2408448,1835008,4243456,448,1344,1344,602112,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[1].proj_out,conv1d,"(448, 448, 1)",802816,1835008,2637824,448,448,448,200704,False,1
ldm_ffhq256,21,decoder_layer_8,decoder_layer_8[2].upsample,conv2d,"(448, 448, 3, 3)",7225344,7340032,14565376,4032,448,4032,1806336,False,1
ldm_ffhq256,22,decoder_layer_9,decoder_layer_9[0].in_layers.conv,conv2d,"(224, 672, 3, 3)",5419008,11010048,16429056,6048,224,6048,1354752,False,1
ldm_ffhq256,22,decoder_layer_9,decoder_layer_9[0].emb_layers.linear,linear,"(224, 896)",802816,3584,806400,896,224,896,200704,False,1
ldm_ffhq256,22,decoder_layer_9,decoder_layer_9[0].out_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,22,decoder_layer_9,decoder_layer_9[0].skip_connection,conv2d,"(224, 672, 1, 1)",602112,11010048,11612160,672,224,672,150528,False,1
ldm_ffhq256,23,decoder_layer_10,decoder_layer_10[0].in_layers.conv,conv2d,"(224, 448, 3, 3)",3612672,7340032,10952704,4032,224,4032,903168,False,1
ldm_ffhq256,23,decoder_layer_10,decoder_layer_10[0].emb_layers.linear,linear,"(224, 896)",802816,3584,806400,896,224,896,200704,False,1
ldm_ffhq256,23,decoder_layer_10,decoder_layer_10[0].out_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,23,decoder_layer_10,decoder_layer_10[0].skip_connection,conv2d,"(224, 448, 1, 1)",401408,7340032,7741440,448,224,448,100352,False,1
ldm_ffhq256,24,decoder_layer_11,decoder_layer_11[0].in_layers.conv,conv2d,"(224, 448, 3, 3)",3612672,7340032,10952704,4032,224,4032,903168,False,1
ldm_ffhq256,24,decoder_layer_11,decoder_layer_11[0].emb_layers.linear,linear,"(224, 896)",802816,3584,806400,896,224,896,200704,False,1
ldm_ffhq256,24,decoder_layer_11,decoder_layer_11[0].out_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,24,decoder_layer_11,decoder_layer_11[0].skip_connection,conv2d,"(224, 448, 1, 1)",401408,7340032,7741440,448,224,448,100352,False,1
