run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam1.0,20,3,1.0,4,model.input_blocks.2,56,144,0.28,5.1822667239787386,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,5,model.input_blocks.3,56,144,0.28,5.151386567689308,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,6,model.input_blocks.4,56,144,0.28,5.05580873233367,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,7,model.input_blocks.5,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,8,model.input_blocks.6,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,9,model.input_blocks.7,56,144,0.28,5.076069396608291,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,10,model.input_blocks.8,56,144,0.28,5.177799680269563,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,11,model.input_blocks.9,56,144,0.28,5.445664892448635,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,12,model.middle_block,56,144,0.28,5.163433212048857,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,13,model.output_blocks.0,56,144,0.28,6.508292609005296,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,14,model.output_blocks.1,56,144,0.28,5.245099558591715,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,15,model.output_blocks.10,56,144,0.28,5.290462906020567,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,16,model.output_blocks.11,57,143,0.28,5.64551692175142,2;4;3;2;4;4;4;4;4;4;3;4;4;3;2
sweep_K20_sw3_lam1.0,20,3,1.0,17,model.output_blocks.2,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,18,model.output_blocks.3,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,19,model.output_blocks.4,56,144,0.28,5.247240579661265,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,20,model.output_blocks.5,56,144,0.28,5.593965288184168,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,21,model.output_blocks.6,56,144,0.28,4.934864972379683,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,22,model.output_blocks.7,56,144,0.28,5.439933375557136,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,23,model.output_blocks.8,56,144,0.28,5.006616135384111,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,24,model.output_blocks.9,56,144,0.28,5.577207762652702,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
